ID,age,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season_no,total_season,block_id
64,31.0,68,10.9,3.2,4.9,-3.9,0.015,0.103,0.186,0.509,0.266,1,3,38
64,32.0,44,6.7,3.4,3.9,2.3,0.022,0.131,0.155,0.473,0.242,2,3,38
64,33.0,65,6.3,2.2,3.8,-6.7,0.021,0.1,0.195,0.465,0.318,3,3,38
178,23.0,58,12.1,5.9,1.4,-0.1,0.067,0.177,0.18,0.6629999999999999,0.092,1,3,104
178,24.0,59,10.3,5.6,1.6,0.2,0.064,0.16,0.1669999999999999,0.56,0.094,2,3,104
178,25.0,64,10.4,5.3,1.3,7.5,0.099,0.148,0.171,0.66,0.1009999999999999,3,3,104
145,24.0,11,11.3,6.6,4.0,6.4,0.043,0.154,0.19,0.44,0.183,1,3,85
145,25.0,26,6.8,4.5,1.9,-6.1,0.032,0.187,0.212,0.395,0.14,2,3,85
145,26.0,48,5.7,4.2,1.8,2.1,0.06,0.177,0.178,0.479,0.155,3,3,85
199,22.0,37,3.3,1.3,0.6,-5.5,0.0139999999999999,0.107,0.171,0.444,0.111,1,3,115
199,23.0,31,4.0,0.8,0.5,-4.1,0.01,0.084,0.187,0.527,0.075,2,3,115
199,24.0,4,5.8,1.5,3.5,-5.9,0.022,0.044,0.179,0.3779999999999999,0.25,3,3,115
298,24.0,37,3.6,2.5,0.7,-6.3,0.031,0.181,0.175,0.475,0.104,1,3,164
298,25.0,35,5.2,3.2,0.7,-11.3,0.042,0.1989999999999999,0.195,0.511,0.088,2,3,164
298,26.0,4,7.5,4.0,1.3,-16.5,0.017,0.238,0.159,0.773,0.147,3,3,164
348,32.0,64,10.3,4.9,1.8,-6.2,0.054,0.145,0.192,0.521,0.113,1,3,196
348,33.0,68,12.1,6.2,4.3,4.1,0.105,0.154,0.216,0.578,0.253,2,3,196
348,34.0,52,6.2,4.0,2.0,-0.2,0.088,0.152,0.1689999999999999,0.5479999999999999,0.177,3,3,196
202,20.0,7,5.7,2.7,0.9,-9.8,0.057,0.171,0.206,0.617,0.103,1,3,117
202,21.0,32,2.2,0.8,0.2,-24.9,0.0,0.154,0.191,0.534,0.067,2,3,117
202,22.0,14,2.4,1.4,0.4,0.5,0.049,0.211,0.16,0.565,0.102,3,3,117
495,22.0,20,3.1,1.0,0.3,-6.9,0.017,0.113,0.152,0.584,0.043,1,3,271
495,23.0,14,2.4,0.8,0.4,-5.2,0.012,0.1639999999999999,0.176,0.645,0.154,2,3,271
495,24.0,5,4.2,1.6,2.0,-2.7,0.051,0.076,0.075,0.8690000000000001,0.172,3,3,271
154,24.0,48,6.0,4.1,0.8,-2.3,0.046,0.184,0.149,0.518,0.063,1,3,89
154,25.0,52,7.2,3.9,0.7,-4.9,0.047,0.177,0.1669999999999999,0.5489999999999999,0.055,2,3,89
154,26.0,40,3.3,2.5,0.5,0.5,0.063,0.155,0.133,0.542,0.064,3,3,89
38,20.0,67,17.8,3.9,7.3,-0.6,0.024,0.09,0.256,0.556,0.354,1,3,21
38,21.0,63,19.1,4.0,7.4,2.6,0.027,0.091,0.267,0.537,0.321,2,3,21
